fold,low_mult,mid_mult,high_mult,source,final,net_pct,worst_dd_pct,active_trades,wr_pct,loss_fold
118,1.0,1.0,1.0,bootstrap_baseline,1875.34,56.28,-8.71,29,44.83,False
119,1.0,1.0,1.0,bootstrap_baseline,2632.94,119.41,-18.23,51,45.1,False
120,1.0,1.0,1.0,bootstrap_baseline,1716.75,43.06,-23.87,35,40.0,False
121,1.0,1.0,1.0,bootstrap_baseline,1545.4,28.78,-15.71,22,40.91,False
122,1.0,1.0,1.0,bootstrap_baseline,1696.14,41.34,-21.53,36,38.89,False
123,1.0,1.0,1.0,bootstrap_baseline,3654.98,204.58,-16.79,44,54.55,False
124,1.0,1.0,1.0,bootstrap_baseline,1764.75,47.06,-22.49,38,39.47,False
125,1.0,1.0,1.0,bootstrap_baseline,1755.84,46.32,-14.29,28,42.86,False
126,1.0,1.0,1.0,bootstrap_baseline,3284.52,173.71,-5.58,24,70.83,False
127,1.0,1.0,1.0,bootstrap_baseline,1757.27,46.44,-8.78,28,42.86,False
128,1.0,1.0,1.0,bootstrap_baseline,1506.5,25.54,-20.52,26,38.46,False
129,1.0,1.0,1.0,bootstrap_baseline,3490.39,190.87,-11.4,41,56.1,False
130,1.0,1.4,0.8,prior_fold_selector,2423.79,101.98,-12.37,39,46.15,False
131,1.0,1.4,0.8,prior_fold_selector,3304.59,175.38,-11.28,35,54.29,False
132,1.3,1.4,0.8,prior_fold_selector,3226.37,168.86,-14.54,37,51.35,False
133,1.3,1.4,0.8,prior_fold_selector,5292.97,341.08,-7.15,36,63.89,False
134,1.3,1.4,0.8,prior_fold_selector,3292.47,174.37,-12.85,33,54.55,False
135,1.3,1.4,0.8,prior_fold_selector,2618.07,118.17,-16.11,33,48.48,False
136,1.3,1.4,0.8,prior_fold_selector,9921.57,726.8,-9.47,47,68.09,False
137,1.3,1.4,0.8,prior_fold_selector,4074.46,239.54,-10.49,44,52.27,False
138,1.3,1.4,1.5,prior_fold_selector,6469.57,439.13,-18.09,54,55.56,False
139,1.3,1.4,1.5,prior_fold_selector,3112.97,159.41,-17.69,45,46.67,False
140,1.3,1.4,1.5,prior_fold_selector,4823.57,301.96,-21.3,59,50.85,False
141,1.3,1.4,1.5,prior_fold_selector,5299.76,341.65,-9.5,36,63.89,False
142,1.3,1.4,1.5,prior_fold_selector,3757.04,213.09,-15.67,43,51.16,False
143,1.3,1.4,0.8,prior_fold_selector,3254.31,171.19,-11.47,37,51.35,False
144,1.3,1.4,0.8,prior_fold_selector,9261.29,671.77,-6.56,52,63.46,False
145,1.3,1.4,0.8,prior_fold_selector,3081.08,156.76,-20.1,35,51.43,False
146,1.3,1.4,0.8,prior_fold_selector,4617.54,284.79,-18.2,44,54.55,False
147,1.3,1.4,0.8,prior_fold_selector,2141.53,78.46,-20.05,39,41.03,False
148,1.3,1.4,0.8,prior_fold_selector,2224.49,85.37,-17.51,38,42.11,False
