low_mult,mid_mult,high_mult,score,median_final,min_final,mean_final,worst_dd_pct,loss_folds,total_active_trades,median_wr_pct
1.3,1.4,0.8,3421.59,3702.39,1625.81,4655.18,-35.1,0,2561,52.27
1.3,1.4,1.0,3421.59,3702.39,1625.81,4656.71,-35.1,0,2561,52.27
1.3,1.4,1.15,3421.59,3702.39,1625.81,4657.86,-35.1,0,2561,52.27
1.3,1.4,1.3,3421.59,3702.39,1625.81,4659.01,-35.1,0,2561,52.27
1.3,1.4,1.5,3421.59,3702.39,1625.81,4660.54,-35.1,0,2561,52.27
1.15,1.4,0.8,3263.3,3554.9,1620.86,4530.87,-36.45,0,2561,52.27
1.15,1.4,1.0,3263.3,3554.9,1620.86,4532.4,-36.45,0,2561,52.27
1.15,1.4,1.15,3263.3,3554.9,1620.86,4533.55,-36.45,0,2561,52.27
1.15,1.4,1.3,3263.3,3554.9,1620.86,4534.7,-36.45,0,2561,52.27
1.15,1.4,1.5,3263.3,3554.9,1620.86,4536.23,-36.45,0,2561,52.27
1.3,1.25,0.8,3235.89,3495.01,1584.77,4401.06,-32.39,0,2561,52.27
1.3,1.25,1.0,3235.89,3495.01,1584.77,4402.59,-32.39,0,2561,52.27
1.3,1.25,1.15,3235.89,3495.01,1584.77,4403.74,-32.39,0,2561,52.27
1.3,1.25,1.3,3235.89,3495.01,1584.77,4404.89,-32.39,0,2561,52.27
1.3,1.25,1.5,3235.89,3495.01,1584.77,4406.42,-32.39,0,2561,52.27
1.15,1.25,0.8,3154.23,3423.75,1579.83,4276.76,-33.69,0,2561,52.27
1.15,1.25,1.0,3154.23,3423.75,1579.83,4278.29,-33.69,0,2561,52.27
1.15,1.25,1.15,3154.23,3423.75,1579.83,4279.44,-33.69,0,2561,52.27
1.15,1.25,1.3,3154.23,3423.75,1579.83,4280.59,-33.69,0,2561,52.27
1.15,1.25,1.5,3154.23,3423.75,1579.83,4282.12,-33.69,0,2561,52.27
1.0,1.4,0.8,3118.33,3421.61,1615.92,4406.57,-37.91,0,2561,52.27
1.0,1.4,1.0,3118.33,3421.61,1615.92,4408.1,-37.91,0,2561,52.27
1.0,1.4,1.15,3118.33,3421.61,1615.92,4409.25,-37.91,0,2561,52.27
1.0,1.4,1.3,3118.33,3421.61,1615.92,4410.4,-37.91,0,2561,52.27
1.0,1.4,1.5,3118.33,3421.61,1615.92,4411.93,-37.91,0,2561,52.27
1.0,1.25,0.8,2995.53,3276.25,1574.89,4152.45,-35.09,0,2561,52.27
1.0,1.25,1.0,2995.53,3276.25,1574.89,4153.98,-35.09,0,2561,52.27
1.0,1.25,1.15,2995.53,3276.25,1574.89,4155.13,-35.09,0,2561,52.27
1.0,1.25,1.3,2995.53,3276.25,1574.89,4156.28,-35.09,0,2561,52.27
1.0,1.25,1.5,2995.53,3276.25,1574.89,4157.81,-35.09,0,2561,52.27
1.3,1.1,0.8,2994.97,3232.97,1543.74,4146.95,-29.75,0,2561,52.27
1.3,1.1,1.0,2994.97,3232.97,1543.74,4148.48,-29.75,0,2561,52.27
1.3,1.1,1.15,2994.97,3232.97,1543.74,4149.63,-29.75,0,2561,52.27
1.3,1.1,1.3,2994.97,3232.97,1543.74,4150.78,-29.75,0,2561,52.27
1.3,1.1,1.5,2994.97,3232.97,1543.74,4152.31,-29.75,0,2561,52.27
0.75,1.4,0.8,2993.36,3318.4,1580.96,4199.39,-40.63,0,2561,52.27
0.75,1.4,1.0,2993.36,3318.4,1580.96,4200.92,-40.63,0,2561,52.27
0.75,1.4,1.15,2993.36,3318.4,1580.96,4202.07,-40.63,0,2561,52.27
0.75,1.4,1.3,2993.36,3318.4,1580.96,4203.22,-40.63,0,2561,52.27
0.75,1.4,1.5,2993.36,3318.4,1580.96,4204.75,-40.63,0,2561,52.27
1.15,1.1,0.8,2974.36,3220.12,1538.8,4022.64,-30.72,0,2561,52.27
1.15,1.1,1.0,2974.36,3220.12,1538.8,4024.18,-30.72,0,2561,52.27
1.15,1.1,1.15,2974.36,3220.12,1538.8,4025.32,-30.72,0,2561,52.27
1.15,1.1,1.3,2974.36,3220.12,1538.8,4026.47,-30.72,0,2561,52.27
1.15,1.1,1.5,2974.36,3220.12,1538.8,4028.01,-30.72,0,2561,52.27
1.0,1.1,0.8,2888.7,3145.1,1533.86,3898.34,-32.05,0,2561,52.27
1.0,1.1,1.0,2888.7,3145.1,1533.86,3899.87,-32.05,0,2561,52.27
1.0,1.1,1.15,2888.7,3145.1,1533.86,3901.02,-32.05,0,2561,52.27
1.0,1.1,1.3,2888.7,3145.1,1533.86,3902.17,-32.05,0,2561,52.27
1.0,1.1,1.5,2888.7,3145.1,1533.86,3903.7,-32.05,0,2561,52.27
0.5,1.4,0.8,2865.12,3215.2,1427.42,3992.22,-43.76,0,2561,52.27
0.5,1.4,1.0,2865.12,3215.2,1427.42,3993.75,-43.76,0,2561,52.27
0.5,1.4,1.15,2865.12,3215.2,1427.42,3994.9,-43.76,0,2561,52.27
0.5,1.4,1.3,2865.12,3215.2,1427.42,3996.05,-43.76,0,2561,52.27
0.5,1.4,1.5,2865.12,3215.2,1427.42,3997.58,-43.76,0,2561,52.27
1.3,1.0,0.8,2854.22,3091.74,1516.38,3977.54,-29.69,0,2561,52.27
1.3,1.0,1.0,2854.22,3091.74,1516.38,3979.07,-29.69,0,2561,52.27
1.3,1.0,1.15,2854.22,3091.74,1516.38,3980.22,-29.69,0,2561,52.27
1.3,1.0,1.3,2854.22,3091.74,1516.38,3981.37,-29.69,0,2561,52.27
1.3,1.0,1.5,2854.22,3091.74,1516.38,3982.9,-29.69,0,2561,52.27
0.75,1.25,0.8,2823.0,3124.6,1566.65,3945.28,-37.7,0,2561,52.27
0.75,1.25,1.0,2823.0,3124.6,1566.65,3946.81,-37.7,0,2561,52.27
0.75,1.25,1.15,2823.0,3124.6,1566.65,3947.96,-37.7,0,2561,52.27
0.75,1.25,1.3,2823.0,3124.6,1566.65,3949.11,-37.7,0,2561,52.27
0.75,1.25,1.5,2823.0,3124.6,1566.65,3950.64,-37.7,0,2561,52.27
1.15,1.0,0.8,2816.47,3045.43,1511.44,3853.23,-28.62,0,2561,52.27
