fold,deals_file,signals_file,match_rate_pct,matched_trades,total_trades,baseline_final,baseline_net_pct,baseline_worst_dd_pct,baseline_active_trades,baseline_wr_pct,rating_final,rating_net_pct,rating_worst_dd_pct,rating_active_trades,rating_skipped_trades,rating_wr_pct,delta_final,delta_dd_pct
118,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_118_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_118_signals.csv,100.0,29,29,1875.34,56.28,-8.71,29,44.83,1318.17,9.85,-5.07,16,13,37.5,-557.17,3.64
119,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_119_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_119_signals.csv,100.0,51,51,2632.94,119.41,-18.23,51,45.1,1990.42,65.87,-6.33,32,19,50.0,-642.52,11.9
120,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_120_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_120_signals.csv,100.0,35,35,1716.75,43.06,-23.87,35,40.0,1423.04,18.59,-6.58,12,23,50.0,-293.71,17.29
121,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_121_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_121_signals.csv,100.0,22,22,1545.4,28.78,-15.71,22,40.91,1393.13,16.09,-9.86,13,9,46.15,-152.27,5.85
122,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_122_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_122_signals.csv,100.0,36,36,1696.14,41.34,-21.53,36,38.89,1575.55,31.3,-7.97,20,16,50.0,-120.59,13.56
123,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_123_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_123_signals.csv,100.0,44,44,3654.98,204.58,-16.79,44,54.55,1868.5,55.71,-14.48,21,23,52.38,-1786.48,2.31
124,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_124_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_124_signals.csv,100.0,38,38,1764.75,47.06,-22.49,38,39.47,1412.0,17.67,-7.73,16,22,43.75,-352.75,14.76
125,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_125_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_125_signals.csv,100.0,28,28,1755.84,46.32,-14.29,28,42.86,1423.28,18.61,-6.68,14,14,50.0,-332.56,7.61
126,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_126_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_126_signals.csv,100.0,24,24,3284.52,173.71,-5.58,24,70.83,2257.33,88.11,-2.15,11,13,90.91,-1027.19,3.43
127,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_127_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_127_signals.csv,100.0,28,28,1757.27,46.44,-8.78,28,42.86,1165.85,-2.85,-8.38,8,20,25.0,-591.42,0.4
128,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_128_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_128_signals.csv,100.0,26,26,1506.5,25.54,-20.52,26,38.46,1364.14,13.68,-5.38,13,13,46.15,-142.36,15.14
129,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_129_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_129_signals.csv,100.0,41,41,3490.39,190.87,-11.4,41,56.1,2146.07,78.84,-6.47,21,20,61.9,-1344.32,4.93
130,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_130_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_130_signals.csv,100.0,39,39,2285.95,90.5,-11.5,39,46.15,1406.77,17.23,-11.69,16,23,43.75,-879.18,-0.19
131,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_131_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_131_signals.csv,100.0,35,35,2892.77,141.06,-11.55,35,54.29,1817.73,51.48,-5.52,18,17,61.11,-1075.04,6.03
132,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_132_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_132_signals.csv,100.0,37,37,2660.32,121.69,-11.37,37,51.35,1967.74,63.98,-3.67,15,22,73.33,-692.58,7.7
133,outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_test_current_logs\fold_133_deals_replay.csv,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\fold_133_signals.csv,100.0,36,36,4215.93,251.33,-5.96,36,63.89,2233.58,86.13,-5.76,19,17,68.42,-1982.35,0.2
