baseline_final,baseline_worst_dd_pct,baseline_trades,fold,agent_enabled,final,net_pct,worst_dd_pct,trades,raw_trades,wr_pct,take,skip,reduce,boost,delta_final,delta_dd_pct
1875.34,-8.71,29,118,False,1875.34,56.28,-8.71,29,29,44.83,29,0,0,0,0.0,0.0
2632.94,-18.23,51,119,False,2632.94,119.41,-18.23,51,51,45.1,51,0,0,0,0.0,0.0
1716.75,-23.87,35,120,False,1716.75,43.06,-23.87,35,35,40.0,35,0,0,0,0.0,0.0
1545.4,-15.71,22,121,False,1545.4,28.78,-15.71,22,22,40.91,22,0,0,0,0.0,0.0
1696.14,-21.53,36,122,False,1696.14,41.34,-21.53,36,36,38.89,36,0,0,0,0.0,0.0
3654.98,-16.79,44,123,False,3654.98,204.58,-16.79,44,44,54.55,44,0,0,0,0.0,0.0
1764.75,-22.49,38,124,False,1764.75,47.06,-22.49,38,38,39.47,38,0,0,0,0.0,0.0
1755.84,-14.29,28,125,False,1755.84,46.32,-14.29,28,28,42.86,28,0,0,0,0.0,0.0
3284.52,-5.58,24,126,False,3284.52,173.71,-5.58,24,24,70.83,24,0,0,0,0.0,0.0
1757.27,-8.78,28,127,False,1757.27,46.44,-8.78,28,28,42.86,28,0,0,0,0.0,0.0
1506.5,-20.52,26,128,False,1506.5,25.54,-20.52,26,26,38.46,26,0,0,0,0.0,0.0
3490.39,-11.4,41,129,False,3490.39,190.87,-11.4,41,41,56.1,41,0,0,0,0.0,0.0
2285.95,-11.5,39,130,True,2151.73,79.31,-10.21,39,39,46.15,32,0,6,1,-134.22,1.29
2892.77,-11.55,35,131,True,2839.8,136.65,-10.13,35,35,54.29,33,0,2,0,-52.97,1.42
2660.32,-11.37,37,132,True,2629.06,119.09,-9.98,37,37,51.35,32,0,3,2,-31.26,1.39
4215.93,-5.96,36,133,True,4267.1,255.59,-7.06,36,36,63.89,29,0,2,5,51.17,-1.1
2760.71,-11.31,33,134,True,2815.75,134.65,-9.57,33,33,54.55,23,0,2,8,55.04,1.74
2244.37,-13.98,33,135,True,2125.84,77.15,-12.5,33,33,48.48,13,0,12,8,-118.53,1.48
7613.76,-8.74,47,136,True,8145.95,578.83,-8.25,47,47,68.09,27,0,1,19,532.19,0.49
3305.21,-8.64,44,137,True,3368.34,180.7,-9.09,44,44,52.27,32,0,1,11,63.13,-0.45
5023.08,-16.55,54,138,True,5311.0,342.58,-12.98,54,54,55.56,19,0,6,29,287.92,3.57
2587.09,-14.88,45,139,True,2199.02,83.25,-13.79,45,45,46.67,17,0,21,7,-388.07,1.09
3848.54,-19.07,59,140,True,2493.93,107.83,-14.38,35,59,51.43,13,24,9,13,-1354.61,4.69
4209.41,-8.79,36,141,True,4331.74,260.98,-9.28,36,36,63.89,21,0,1,14,122.33,-0.49
3032.58,-11.4,43,142,True,3073.85,156.15,-11.3,43,43,51.16,24,0,7,12,41.27,0.1
2716.92,-8.77,37,143,True,2702.04,125.17,-10.1,37,37,51.35,14,0,4,19,-14.88,-1.33
7185.29,-5.99,52,144,True,7550.65,529.22,-5.64,52,52,63.46,38,0,0,14,365.36,0.35
2549.31,-15.47,35,145,True,1160.89,-3.26,-14.5,12,35,25.0,4,23,5,3,-1388.42,0.97
3695.78,-16.71,44,146,True,3831.71,219.31,-13.43,44,44,54.55,14,0,6,24,135.93,3.28
1879.7,-16.46,39,147,True,1667.75,38.98,-12.94,39,39,41.03,11,0,18,10,-211.95,3.52
1926.58,-15.35,38,148,True,1996.15,66.35,-12.57,38,38,42.11,12,0,13,13,69.57,2.78
