final,worst_dd_pct,trades,fold
1875.34,-8.71,29,118
2632.94,-18.23,51,119
1716.75,-23.87,35,120
1545.4,-15.71,22,121
1696.14,-21.53,36,122
3654.98,-16.79,44,123
1764.75,-22.49,38,124
1755.84,-14.29,28,125
3284.52,-5.58,24,126
1757.27,-8.78,28,127
1506.5,-20.52,26,128
3490.39,-11.4,41,129
2285.95,-11.5,39,130
2892.77,-11.55,35,131
2660.32,-11.37,37,132
4215.93,-5.96,36,133
2760.71,-11.31,33,134
2244.37,-13.98,33,135
7613.76,-8.74,47,136
3305.21,-8.64,44,137
5023.08,-16.55,54,138
2587.09,-14.88,45,139
3848.54,-19.07,59,140
4209.41,-8.79,36,141
3032.58,-11.4,43,142
2716.92,-8.77,37,143
7185.29,-5.99,52,144
2549.31,-15.47,35,145
3695.78,-16.71,44,146
1879.7,-16.46,39,147
1926.58,-15.35,38,148
2272.46,-20.3,42,149
3635.02,-12.42,50,150
2904.81,-14.54,39,151
2400.43,-21.68,38,152
2226.37,-8.71,23,153
2284.5,-11.42,29,154
1838.72,-16.3,34,155
2193.6,-11.5,43,156
3057.66,-5.93,26,157
4726.69,-10.38,46,158
2509.65,-15.68,33,159
2729.29,-20.65,40,160
5083.15,-13.9,43,161
3214.4,-15.47,45,162
3472.44,-12.25,46,163
4130.1,-29.89,56,164
10781.94,-11.01,49,165
4162.59,-8.65,43,166
10800.28,-13.62,69,167
6861.04,-8.75,54,168
4423.66,-11.38,50,169
6655.39,-8.73,54,170
7927.93,-11.42,49,171
5190.16,-8.6,43,172
4076.83,-8.77,50,173
6945.74,-11.64,45,174
8449.32,-13.89,56,175
2632.69,-18.83,30,176
2552.69,-13.68,42,177
5675.87,-8.68,44,178
3733.31,-13.26,36,179
2156.1,-5.69,26,180
