fold,agent_enabled,final,net_pct,worst_dd_pct,trades,raw_trades,wr_pct,take,skip,reduce,boost
118,False,1875.34,56.28,-8.71,29,29,44.83,29,0,0,0
119,False,2632.94,119.41,-18.23,51,51,45.1,51,0,0,0
120,False,1716.75,43.06,-23.87,35,35,40.0,35,0,0,0
121,False,1545.4,28.78,-15.71,22,22,40.91,22,0,0,0
122,False,1696.14,41.34,-21.53,36,36,38.89,36,0,0,0
123,False,3654.98,204.58,-16.79,44,44,54.55,44,0,0,0
124,False,1764.75,47.06,-22.49,38,38,39.47,38,0,0,0
125,False,1755.84,46.32,-14.29,28,28,42.86,28,0,0,0
126,False,3284.52,173.71,-5.58,24,24,70.83,24,0,0,0
127,False,1757.27,46.44,-8.78,28,28,42.86,28,0,0,0
128,False,1506.5,25.54,-20.52,26,26,38.46,26,0,0,0
129,False,3490.39,190.87,-11.4,41,41,56.1,41,0,0,0
130,True,2285.95,90.5,-11.5,39,39,46.15,39,0,0,0
131,True,2892.77,141.06,-11.55,35,35,54.29,35,0,0,0
132,True,2660.32,121.69,-11.37,37,37,51.35,37,0,0,0
133,True,4200.39,250.03,-6.0,36,36,63.89,34,0,2,0
134,True,2760.71,130.06,-11.31,33,33,54.55,33,0,0,0
135,True,2158.75,79.9,-14.17,33,33,48.48,29,0,4,0
136,True,7613.76,534.48,-8.74,47,47,68.09,47,0,0,0
137,True,3305.21,175.43,-8.64,44,44,52.27,44,0,0,0
138,True,4998.03,316.5,-15.91,54,54,55.56,52,0,2,0
139,True,2570.13,114.18,-14.23,45,45,46.67,43,0,2,0
140,True,2237.84,86.49,-20.43,45,59,46.67,34,14,11,0
141,True,4209.41,250.78,-8.79,36,36,63.89,36,0,0,0
142,True,3032.58,152.72,-11.4,43,43,51.16,43,0,0,0
143,True,2716.92,126.41,-8.77,37,37,51.35,37,0,0,0
144,True,7185.29,498.77,-5.99,52,52,63.46,52,0,0,0
145,True,2536.88,111.41,-14.83,35,35,51.43,33,0,2,0
146,True,3659.88,204.99,-16.07,44,44,54.55,42,0,2,0
147,True,1807.62,50.64,-16.48,39,39,41.03,33,0,6,0
148,True,1825.36,52.11,-16.49,38,38,42.11,32,0,6,0
149,True,2232.63,86.05,-18.45,42,42,45.24,36,0,6,0
150,True,3600.95,200.08,-12.42,50,50,52.0,49,0,1,0
151,True,2885.65,140.47,-14.54,39,39,51.28,38,0,1,0
152,True,2348.91,95.74,-19.79,38,38,47.37,31,0,7,0
153,True,2226.37,85.53,-8.71,23,23,56.52,23,0,0,0
154,True,2284.5,90.37,-11.42,29,29,51.72,29,0,0,0
155,True,1853.09,54.42,-15.65,34,34,41.18,33,0,1,0
156,True,2193.6,82.8,-11.5,43,43,44.19,43,0,0,0
157,True,3057.66,154.81,-5.93,26,26,65.38,26,0,0,0
158,True,4726.69,293.89,-10.38,46,46,60.87,46,0,0,0
159,True,2478.51,106.54,-15.05,33,33,51.52,30,0,3,0
160,True,2669.53,122.46,-19.66,40,40,50.0,30,0,10,0
161,True,5058.71,321.56,-13.9,43,43,62.79,42,0,1,0
162,True,3199.7,166.64,-14.84,45,45,51.11,43,0,2,0
163,True,3452.7,187.72,-12.25,46,46,52.17,45,0,1,0
164,True,1885.9,57.16,-29.89,28,56,57.14,28,28,0,0
165,True,10781.94,798.5,-11.01,49,49,73.47,49,0,0,0
166,True,4162.59,246.88,-8.65,43,43,58.14,43,0,0,0
167,True,10748.12,795.68,-13.62,69,69,60.87,68,0,1,0
168,True,6861.04,471.75,-8.75,54,54,61.11,54,0,0,0
169,True,4423.66,268.64,-11.38,50,50,56.0,50,0,0,0
170,True,6655.39,454.62,-8.73,54,54,61.11,54,0,0,0
171,True,7927.93,560.66,-11.42,49,49,69.39,49,0,0,0
172,True,5190.16,332.51,-8.6,43,43,62.79,43,0,0,0
173,True,4076.83,239.74,-8.77,50,50,54.0,50,0,0,0
174,True,6945.74,478.81,-11.64,45,45,68.89,45,0,0,0
175,True,8360.87,596.74,-14.55,56,56,64.29,54,0,2,0
176,True,2673.17,122.76,-17.58,30,30,56.67,28,0,2,0
177,True,2501.01,108.42,-14.05,42,42,47.62,40,0,2,0
178,True,5675.87,372.99,-8.68,44,44,63.64,44,0,0,0
179,True,3733.31,211.11,-13.26,36,36,58.33,36,0,0,0
180,True,2156.1,79.67,-5.69,26,26,53.85,26,0,0,0
