min_memory_trades,bad_expectancy_usd,good_expectancy_usd,bad_win_rate,reduce_multiplier,boost_multiplier,dd_reduce_pct,dd_skip_pct,score,median_final,min_final,mean_final,worst_dd_pct,loss_folds,total_trades,total_skip,total_reduce,total_boost,delta_median_final,delta_min_final,delta_worst_dd_pct
25,-5.0,20.0,0.42,0.75,1.0,-12.0,-20.0,2947.83,2885.65,1506.5,3656.63,-29.89,0,2519,42,77,0,-146.93,0.0,0.0
25,-5.0,40.0,0.42,0.75,1.0,-12.0,-20.0,2947.83,2885.65,1506.5,3656.63,-29.89,0,2519,42,77,0,-146.93,0.0,0.0
25,-5.0,9999.0,0.42,0.75,1.0,-12.0,-20.0,2947.83,2885.65,1506.5,3656.63,-29.89,0,2519,42,77,0,-146.93,0.0,0.0
25,-5.0,9999.0,0.42,0.75,1.1,-12.0,-20.0,2947.83,2885.65,1506.5,3656.63,-29.89,0,2519,42,77,0,-146.93,0.0,0.0
25,-10.0,20.0,0.42,0.75,1.0,-12.0,-20.0,2947.83,2885.65,1506.5,3656.63,-29.89,0,2519,42,77,0,-146.93,0.0,0.0
25,-10.0,40.0,0.42,0.75,1.0,-12.0,-20.0,2947.83,2885.65,1506.5,3656.63,-29.89,0,2519,42,77,0,-146.93,0.0,0.0
25,-10.0,9999.0,0.42,0.75,1.0,-12.0,-20.0,2947.83,2885.65,1506.5,3656.63,-29.89,0,2519,42,77,0,-146.93,0.0,0.0
25,-10.0,9999.0,0.42,0.75,1.1,-12.0,-20.0,2947.83,2885.65,1506.5,3656.63,-29.89,0,2519,42,77,0,-146.93,0.0,0.0
50,-5.0,20.0,0.42,0.75,1.0,-12.0,-20.0,2947.83,2885.65,1506.5,3656.87,-29.89,0,2519,42,75,0,-146.93,0.0,0.0
50,-5.0,40.0,0.42,0.75,1.0,-12.0,-20.0,2947.83,2885.65,1506.5,3656.87,-29.89,0,2519,42,75,0,-146.93,0.0,0.0
50,-5.0,9999.0,0.42,0.75,1.0,-12.0,-20.0,2947.83,2885.65,1506.5,3656.87,-29.89,0,2519,42,75,0,-146.93,0.0,0.0
50,-5.0,9999.0,0.42,0.75,1.1,-12.0,-20.0,2947.83,2885.65,1506.5,3656.87,-29.89,0,2519,42,75,0,-146.93,0.0,0.0
50,-10.0,20.0,0.42,0.75,1.0,-12.0,-20.0,2947.83,2885.65,1506.5,3656.87,-29.89,0,2519,42,75,0,-146.93,0.0,0.0
50,-10.0,40.0,0.42,0.75,1.0,-12.0,-20.0,2947.83,2885.65,1506.5,3656.87,-29.89,0,2519,42,75,0,-146.93,0.0,0.0
50,-10.0,9999.0,0.42,0.75,1.0,-12.0,-20.0,2947.83,2885.65,1506.5,3656.87,-29.89,0,2519,42,75,0,-146.93,0.0,0.0
50,-10.0,9999.0,0.42,0.75,1.1,-12.0,-20.0,2947.83,2885.65,1506.5,3656.87,-29.89,0,2519,42,75,0,-146.93,0.0,0.0
80,-5.0,20.0,0.42,0.75,1.0,-12.0,-20.0,2947.83,2885.65,1506.5,3656.87,-29.89,0,2519,42,75,0,-146.93,0.0,0.0
80,-5.0,40.0,0.42,0.75,1.0,-12.0,-20.0,2947.83,2885.65,1506.5,3656.87,-29.89,0,2519,42,75,0,-146.93,0.0,0.0
80,-5.0,9999.0,0.42,0.75,1.0,-12.0,-20.0,2947.83,2885.65,1506.5,3656.87,-29.89,0,2519,42,75,0,-146.93,0.0,0.0
80,-5.0,9999.0,0.42,0.75,1.1,-12.0,-20.0,2947.83,2885.65,1506.5,3656.87,-29.89,0,2519,42,75,0,-146.93,0.0,0.0
80,-10.0,20.0,0.42,0.75,1.0,-12.0,-20.0,2947.83,2885.65,1506.5,3656.87,-29.89,0,2519,42,75,0,-146.93,0.0,0.0
80,-10.0,40.0,0.42,0.75,1.0,-12.0,-20.0,2947.83,2885.65,1506.5,3656.87,-29.89,0,2519,42,75,0,-146.93,0.0,0.0
80,-10.0,9999.0,0.42,0.75,1.0,-12.0,-20.0,2947.83,2885.65,1506.5,3656.87,-29.89,0,2519,42,75,0,-146.93,0.0,0.0
80,-10.0,9999.0,0.42,0.75,1.1,-12.0,-20.0,2947.83,2885.65,1506.5,3656.87,-29.89,0,2519,42,75,0,-146.93,0.0,0.0
25,-5.0,20.0,0.42,0.75,1.1,-12.0,-20.0,2937.67,2892.77,1506.5,3785.54,-32.05,0,2505,56,76,1064,-139.81,0.0,-2.16
25,-5.0,40.0,0.42,0.75,1.1,-12.0,-20.0,2937.67,2892.77,1506.5,3785.06,-32.05,0,2505,56,76,1061,-139.81,0.0,-2.16
25,-10.0,20.0,0.42,0.75,1.1,-12.0,-20.0,2937.67,2892.77,1506.5,3785.54,-32.05,0,2505,56,76,1064,-139.81,0.0,-2.16
25,-10.0,40.0,0.42,0.75,1.1,-12.0,-20.0,2937.67,2892.77,1506.5,3785.06,-32.05,0,2505,56,76,1061,-139.81,0.0,-2.16
50,-5.0,20.0,0.42,0.75,1.1,-12.0,-20.0,2937.67,2892.77,1506.5,3777.84,-32.05,0,2505,56,74,1000,-139.81,0.0,-2.16
50,-5.0,40.0,0.42,0.75,1.1,-12.0,-20.0,2937.67,2892.77,1506.5,3777.36,-32.05,0,2505,56,74,997,-139.81,0.0,-2.16
50,-10.0,20.0,0.42,0.75,1.1,-12.0,-20.0,2937.67,2892.77,1506.5,3777.84,-32.05,0,2505,56,74,1000,-139.81,0.0,-2.16
50,-10.0,40.0,0.42,0.75,1.1,-12.0,-20.0,2937.67,2892.77,1506.5,3777.36,-32.05,0,2505,56,74,997,-139.81,0.0,-2.16
80,-5.0,20.0,0.42,0.75,1.1,-12.0,-20.0,2937.67,2892.77,1506.5,3766.19,-32.05,0,2505,56,72,904,-139.81,0.0,-2.16
80,-5.0,40.0,0.42,0.75,1.1,-12.0,-20.0,2937.67,2892.77,1506.5,3765.71,-32.05,0,2505,56,72,901,-139.81,0.0,-2.16
80,-10.0,20.0,0.42,0.75,1.1,-12.0,-20.0,2937.67,2892.77,1506.5,3766.19,-32.05,0,2505,56,72,904,-139.81,0.0,-2.16
80,-10.0,40.0,0.42,0.75,1.1,-12.0,-20.0,2937.67,2892.77,1506.5,3765.71,-32.05,0,2505,56,72,901,-139.81,0.0,-2.16
25,-5.0,20.0,0.42,1.0,1.1,-12.0,-20.0,2616.57,2949.91,1115.3,3804.23,-32.05,1,2496,65,0,1103,-82.67,-391.2,-2.16
25,-5.0,40.0,0.42,1.0,1.1,-12.0,-20.0,2616.57,2949.91,1115.3,3803.75,-32.05,1,2496,65,0,1100,-82.67,-391.2,-2.16
25,-10.0,20.0,0.42,1.0,1.1,-12.0,-20.0,2616.57,2949.91,1115.3,3804.23,-32.05,1,2496,65,0,1103,-82.67,-391.2,-2.16
25,-10.0,40.0,0.42,1.0,1.1,-12.0,-20.0,2616.57,2949.91,1115.3,3803.75,-32.05,1,2496,65,0,1100,-82.67,-391.2,-2.16
50,-5.0,20.0,0.42,1.0,1.1,-12.0,-20.0,2616.57,2949.91,1115.3,3795.79,-32.05,1,2496,65,0,1037,-82.67,-391.2,-2.16
50,-5.0,40.0,0.42,1.0,1.1,-12.0,-20.0,2616.57,2949.91,1115.3,3795.31,-32.05,1,2496,65,0,1034,-82.67,-391.2,-2.16
50,-10.0,20.0,0.42,1.0,1.1,-12.0,-20.0,2616.57,2949.91,1115.3,3795.79,-32.05,1,2496,65,0,1037,-82.67,-391.2,-2.16
50,-10.0,40.0,0.42,1.0,1.1,-12.0,-20.0,2616.57,2949.91,1115.3,3795.31,-32.05,1,2496,65,0,1034,-82.67,-391.2,-2.16
80,-5.0,20.0,0.42,1.0,1.1,-12.0,-20.0,2616.57,2949.91,1115.3,3783.87,-32.05,1,2496,65,0,928,-82.67,-391.2,-2.16
80,-5.0,40.0,0.42,1.0,1.1,-12.0,-20.0,2616.57,2949.91,1115.3,3783.4,-32.05,1,2496,65,0,925,-82.67,-391.2,-2.16
80,-10.0,20.0,0.42,1.0,1.1,-12.0,-20.0,2616.57,2949.91,1115.3,3783.87,-32.05,1,2496,65,0,928,-82.67,-391.2,-2.16
80,-10.0,40.0,0.42,1.0,1.1,-12.0,-20.0,2616.57,2949.91,1115.3,3783.4,-32.05,1,2496,65,0,925,-82.67,-391.2,-2.16
25,-5.0,20.0,0.42,1.0,1.0,-12.0,-20.0,2586.276,2904.81,1102.93,3658.38,-29.89,1,2496,65,0,0,-127.77,-403.57,0.0
25,-5.0,40.0,0.42,1.0,1.0,-12.0,-20.0,2586.276,2904.81,1102.93,3658.38,-29.89,1,2496,65,0,0,-127.77,-403.57,0.0
25,-5.0,9999.0,0.42,1.0,1.0,-12.0,-20.0,2586.276,2904.81,1102.93,3658.38,-29.89,1,2496,65,0,0,-127.77,-403.57,0.0
25,-5.0,9999.0,0.42,1.0,1.1,-12.0,-20.0,2586.276,2904.81,1102.93,3658.38,-29.89,1,2496,65,0,0,-127.77,-403.57,0.0
25,-10.0,20.0,0.42,1.0,1.0,-12.0,-20.0,2586.276,2904.81,1102.93,3658.38,-29.89,1,2496,65,0,0,-127.77,-403.57,0.0
25,-10.0,40.0,0.42,1.0,1.0,-12.0,-20.0,2586.276,2904.81,1102.93,3658.38,-29.89,1,2496,65,0,0,-127.77,-403.57,0.0
25,-10.0,9999.0,0.42,1.0,1.0,-12.0,-20.0,2586.276,2904.81,1102.93,3658.38,-29.89,1,2496,65,0,0,-127.77,-403.57,0.0
25,-10.0,9999.0,0.42,1.0,1.1,-12.0,-20.0,2586.276,2904.81,1102.93,3658.38,-29.89,1,2496,65,0,0,-127.77,-403.57,0.0
50,-5.0,20.0,0.42,1.0,1.0,-12.0,-20.0,2586.276,2904.81,1102.93,3658.38,-29.89,1,2496,65,0,0,-127.77,-403.57,0.0
50,-5.0,40.0,0.42,1.0,1.0,-12.0,-20.0,2586.276,2904.81,1102.93,3658.38,-29.89,1,2496,65,0,0,-127.77,-403.57,0.0
50,-5.0,9999.0,0.42,1.0,1.0,-12.0,-20.0,2586.276,2904.81,1102.93,3658.38,-29.89,1,2496,65,0,0,-127.77,-403.57,0.0
50,-5.0,9999.0,0.42,1.0,1.1,-12.0,-20.0,2586.276,2904.81,1102.93,3658.38,-29.89,1,2496,65,0,0,-127.77,-403.57,0.0
50,-10.0,20.0,0.42,1.0,1.0,-12.0,-20.0,2586.276,2904.81,1102.93,3658.38,-29.89,1,2496,65,0,0,-127.77,-403.57,0.0
50,-10.0,40.0,0.42,1.0,1.0,-12.0,-20.0,2586.276,2904.81,1102.93,3658.38,-29.89,1,2496,65,0,0,-127.77,-403.57,0.0
50,-10.0,9999.0,0.42,1.0,1.0,-12.0,-20.0,2586.276,2904.81,1102.93,3658.38,-29.89,1,2496,65,0,0,-127.77,-403.57,0.0
50,-10.0,9999.0,0.42,1.0,1.1,-12.0,-20.0,2586.276,2904.81,1102.93,3658.38,-29.89,1,2496,65,0,0,-127.77,-403.57,0.0
80,-5.0,20.0,0.42,1.0,1.0,-12.0,-20.0,2586.276,2904.81,1102.93,3658.38,-29.89,1,2496,65,0,0,-127.77,-403.57,0.0
80,-5.0,40.0,0.42,1.0,1.0,-12.0,-20.0,2586.276,2904.81,1102.93,3658.38,-29.89,1,2496,65,0,0,-127.77,-403.57,0.0
80,-5.0,9999.0,0.42,1.0,1.0,-12.0,-20.0,2586.276,2904.81,1102.93,3658.38,-29.89,1,2496,65,0,0,-127.77,-403.57,0.0
80,-5.0,9999.0,0.42,1.0,1.1,-12.0,-20.0,2586.276,2904.81,1102.93,3658.38,-29.89,1,2496,65,0,0,-127.77,-403.57,0.0
80,-10.0,20.0,0.42,1.0,1.0,-12.0,-20.0,2586.276,2904.81,1102.93,3658.38,-29.89,1,2496,65,0,0,-127.77,-403.57,0.0
80,-10.0,40.0,0.42,1.0,1.0,-12.0,-20.0,2586.276,2904.81,1102.93,3658.38,-29.89,1,2496,65,0,0,-127.77,-403.57,0.0
80,-10.0,9999.0,0.42,1.0,1.0,-12.0,-20.0,2586.276,2904.81,1102.93,3658.38,-29.89,1,2496,65,0,0,-127.77,-403.57,0.0
80,-10.0,9999.0,0.42,1.0,1.1,-12.0,-20.0,2586.276,2904.81,1102.93,3658.38,-29.89,1,2496,65,0,0,-127.77,-403.57,0.0
