log,trades_replayed,final_balance_replayed,max_dd_pct_replayed,worst_balance,wins,losses,fold,final_balance,trades,win_rate_pct,final_balance_gap,trade_count_gap,report_fold
outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_risk_2_5_20260524\f118_180\tester_logs\fold_118_tester.log,29,1730.88,-7.25,1113.67,13,16,118,1730.88,58.0,44.8,0.0,-29.0,118
outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_risk_2_5_20260524\f118_180\tester_logs\fold_119_tester.log,51,2326.94,-15.34,1111.74,23,28,119,2326.93,102.0,45.1,0.01,-51.0,119
outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_risk_2_5_20260524\f118_180\tester_logs\fold_120_tester.log,35,1630.37,-20.09,1078.62,14,21,120,1630.38,70.0,40.0,-0.01,-35.0,120
outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_risk_2_5_20260524\f118_180\tester_logs\fold_121_tester.log,22,1487.37,-13.16,1170.38,9,13,121,1487.38,44.0,40.9,-0.01,-22.0,121
outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_risk_2_5_20260524\f118_180\tester_logs\fold_122_tester.log,36,1600.61,-18.13,1274.34,14,22,122,1600.56,72.0,38.9,0.05,-36.0,122
outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_risk_2_5_20260524\f118_180\tester_logs\fold_123_tester.log,44,3046.35,-14.11,1273.47,24,20,123,3046.39,88.0,54.5,-0.04,-44.0,123
outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_risk_2_5_20260524\f118_180\tester_logs\fold_124_tester.log,38,1649.41,-19.57,1274.35,15,23,124,1649.43,76.0,39.5,-0.02,-38.0,124
outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_risk_2_5_20260524\f118_180\tester_logs\fold_125_tester.log,28,1641.73,-12.01,1126.1,12,16,125,1641.74,56.0,42.9,-0.01,-28.0,125
outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_risk_2_5_20260524\f118_180\tester_logs\fold_126_tester.log,24,2783.26,-5.06,1275.59,17,7,126,2783.25,48.0,70.8,0.01,-24.0,126
outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_risk_2_5_20260524\f118_180\tester_logs\fold_127_tester.log,28,1649.71,-7.32,1182.18,12,16,127,1649.7,56.0,42.9,0.01,-28.0,127
outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_risk_2_5_20260524\f118_180\tester_logs\fold_128_tester.log,26,1444.58,-17.38,1082.78,10,16,128,1444.59,52.0,38.5,-0.01,-26.0,128
outputs\mt5_1200_fixed_ea_rewf_20260523\dd_replay_risk_2_5_20260524\f118_180\tester_logs\fold_129_tester.log,41,2971.27,-9.49,1151.17,23,18,129,2971.28,82.0,56.1,-0.01,-41.0,129
