fold,test_start,test_end,signals,deposit,risk_pct,max_positions,max_daily_loss_pct,max_risk_pct,max_exposure_pct,max_dd_kill_pct,max_peak_dd_kill_pct,target_balance_stop,min_entry_drift_r,max_entry_drift_r,trailing_enabled,breakeven_rr,trail_activation_rr,trail_atr_multiple,max_hold_bars,model,final_balance,net_pct,max_dd_pct,trades,tp_hits,sl_hits,win_rate_pct,loaded_signals,report,log,tester_log,report_fold,note
118,2021-01-05 07:00:00,2021-02-04 07:00:00,34,1200,2,1,100,2,2,100,0,0,-999,999,0,0,0,0,0,0,1593.98,32.83,0,58,13,16,44.8,34,C:\Users\doanbacremote\tradingview-mcp\MT5Reports\Report_AISignal_20260523_205332.html,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\logs\fold_118.log,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\tester_logs\fold_118_tester.log,118,
119,2021-02-04 07:00:00,2021-03-06 07:00:00,53,1200,2,1,100,2,2,100,0,0,-999,999,0,0,0,0,0,0,2058.64,71.55,0,102,23,28,45.1,53,C:\Users\doanbacremote\tradingview-mcp\MT5Reports\Report_AISignal_20260523_205401.html,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\logs\fold_119.log,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\tester_logs\fold_119_tester.log,119,
120,2021-03-06 07:00:00,2021-04-05 07:00:00,35,1200,2,1,100,2,2,100,0,0,-999,999,0,0,0,0,0,0,1539.99,28.33,0,70,14,21,40.0,35,C:\Users\doanbacremote\tradingview-mcp\MT5Reports\Report_AISignal_20260523_205421.html,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\logs\fold_120.log,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\tester_logs\fold_120_tester.log,120,
121,2021-04-05 07:00:00,2021-05-05 07:00:00,25,1200,2,1,100,2,2,100,0,0,-999,999,0,0,0,0,0,0,1422.84,18.57,0,44,9,13,40.9,25,C:\Users\doanbacremote\tradingview-mcp\MT5Reports\Report_AISignal_20260523_205440.html,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\logs\fold_121.log,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\tester_logs\fold_121_tester.log,121,
122,2021-05-05 07:00:00,2021-06-04 07:00:00,37,1200,2,1,100,2,2,100,0,0,-999,999,0,0,0,0,0,0,1517.73,26.48,0,72,14,22,38.9,37,C:\Users\doanbacremote\tradingview-mcp\MT5Reports\Report_AISignal_20260523_205500.html,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\logs\fold_122.log,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\tester_logs\fold_122_tester.log,122,
123,2021-06-04 07:00:00,2021-07-04 07:00:00,44,1200,2,1,100,2,2,100,0,0,-999,999,0,0,0,0,0,0,2545.91,112.16,0,88,24,20,54.5,44,C:\Users\doanbacremote\tradingview-mcp\MT5Reports\Report_AISignal_20260523_205519.html,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\logs\fold_123.log,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\tester_logs\fold_123_tester.log,123,
124,2021-07-04 07:00:00,2021-08-03 07:00:00,41,1200,2,1,100,2,2,100,0,0,-999,999,0,0,0,0,0,0,1547.1,28.92,0,76,15,23,39.5,41,C:\Users\doanbacremote\tradingview-mcp\MT5Reports\Report_AISignal_20260523_205539.html,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\logs\fold_124.log,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\tester_logs\fold_124_tester.log,124,
125,2021-08-03 07:00:00,2021-09-02 07:00:00,30,1200,2,1,100,2,2,100,0,0,-999,999,0,0,0,0,0,0,1537.93,28.16,0,56,12,16,42.9,30,C:\Users\doanbacremote\tradingview-mcp\MT5Reports\Report_AISignal_20260523_205558.html,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\logs\fold_125.log,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\tester_logs\fold_125_tester.log,125,
126,2021-09-02 07:00:00,2021-10-02 07:00:00,25,1200,2,1,100,2,2,100,0,0,-999,999,0,0,0,0,0,0,2354.84,96.24,0,48,17,7,70.8,25,C:\Users\doanbacremote\tradingview-mcp\MT5Reports\Report_AISignal_20260523_205618.html,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\logs\fold_126.log,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\tester_logs\fold_126_tester.log,126,
127,2021-10-02 07:00:00,2021-11-01 07:00:00,30,1200,2,1,100,2,2,100,0,0,-999,999,0,0,0,0,0,0,1554.01,29.5,0,56,12,16,42.9,30,C:\Users\doanbacremote\tradingview-mcp\MT5Reports\Report_AISignal_20260523_205637.html,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\logs\fold_127.log,F:\Trading_BOT_AUTO\Trade-Indicator\outputs\monthly180_aggressive_highdd_sweep_20260520\risk_05_10_best_shape\best_mt5\tester_logs\fold_127_tester.log,127,
