fold,period,trades_200,wr_200,pnl_200,dd_200,end_bal_200,trades_50,wr_50,pnl_50,dd_50,end_bal_50,ratio
1,2023-12-20 → 2024-01-22,545,50.1,12193.19,-13.52,12393.19,508,49.2,1660.71,-13.52,1710.71,13.619979677180458
2,2024-01-22 → 2024-02-21,598,45.1,1362.33,-18.54,1562.33,516,46.5,356.74,-13.4,406.74,26.18601954005271
3,2024-02-21 → 2024-03-22,528,50.0,1978.51,-16.1,2178.51,529,50.3,556.5,-14.16,606.5,28.12722705470278
4,2024-03-22 → 2024-04-24,24,29.2,-42.03,-21.01,157.97,303,46.9,135.69,-20.06,185.69,-322.84082798001424
5,2024-04-24 → 2024-05-23,501,49.7,4623.14,-18.35,4823.14,457,51.0,862.05,-13.77,912.05,18.646417802619
6,2024-05-23 → 2024-06-24,335,37.9,158.8,-22.14,358.8,275,37.1,15.91,-20.49,65.91,10.01889168765743
7,2024-06-24 → 2024-07-24,309,45.0,415.62,-20.42,615.62,507,47.3,866.23,-19.17,916.23,208.41874789471154
8,2024-07-24 → 2024-08-23,448,47.3,2276.45,-15.17,2476.45,414,46.1,343.12,-15.17,393.12,15.072591095785107
9,2024-08-23 → 2024-09-24,461,50.1,1215.2,-20.09,1415.2,425,50.1,290.22,-20.09,340.22,23.882488479262673
10,2024-09-24 → 2024-10-24,365,45.2,2367.74,-21.32,2567.74,339,42.8,444.44,-21.32,494.44,18.770642046846362
11,2024-10-24 → 2024-11-22,469,44.4,1242.75,-16.18,1442.75,403,46.4,418.19,-13.24,468.19,33.65037215851942
12,2024-11-22 → 2024-12-26,497,44.3,1237.4,-15.59,1437.4,412,44.9,176.13,-14.89,226.13,14.233877485049295
13,2024-12-26 → 2025-01-27,557,45.6,1534.03,-14.31,1734.03,501,47.7,393.74,-17.42,443.74,25.66703389112338
14,2025-01-27 → 2025-02-26,339,48.4,992.39,-20.27,1192.39,316,47.5,237.02,-20.27,287.02,23.883755378429854
15,2025-02-26 → 2025-03-28,593,50.4,8712.13,-16.31,8912.13,527,50.8,1974.34,-14.26,2024.34,22.661966706190107
16,2025-03-28 → 2025-04-30,240,49.2,779.49,-13.02,979.49,206,50.0,145.21,-11.58,195.21,18.6288470666718
17,2025-04-30 → 2025-05-30,453,48.6,1318.48,-13.82,1518.48,373,47.7,158.5,-15.23,208.5,12.021418603240095
18,2025-05-30 → 2025-06-30,483,46.8,911.02,-20.54,1111.02,432,46.8,246.07,-20.54,296.07,27.01038396522579
19,2025-06-30 → 2025-07-30,324,39.8,102.29,-22.51,302.29,290,41.7,54.43,-20.3,104.43,53.211457620490755
20,2025-07-30 → 2025-08-29,194,45.4,295.0,-20.56,495.0,538,43.5,213.51,-18.34,263.51,72.37627118644068
21,2025-08-29 → 2025-09-30,221,45.2,376.51,-20.1,576.51,397,45.1,318.19,-20.39,368.19,84.51037157047622
22,2025-09-30 → 2025-10-30,297,55.2,1988.91,-15.05,2188.91,282,53.9,427.54,-15.05,477.54,21.496196409088395
23,2025-10-30 → 2025-12-01,375,45.3,344.77,-20.84,544.77,443,49.0,250.09,-16.9,300.09,72.53821388171825
24,2025-12-01 → 2026-01-01,156,30.1,9.05,-20.04,209.05,545,42.0,266.83,-19.97,316.83,2948.397790055248
25,2026-01-02 → 2026-02-02,430,47.7,1103.44,-18.67,1303.44,330,47.0,106.08,-14.93,156.08,9.613572101790762
26,2026-02-02 → 2026-03-04,478,45.0,1287.07,-13.87,1487.07,414,44.0,111.44,-14.89,161.44,8.658425726650453
27,2026-03-04 → 2026-04-06,514,51.2,13540.97,-14.76,13740.97,516,51.9,5553.88,-15.59,5603.88,41.015377775742806
28,2026-04-06 → 2026-04-24,331,41.7,259.17,-18.56,459.17,232,40.1,25.11,-21.11,75.11,9.688621368213912
